행정동코드,시군구명,읍면동명,면적
1111051500,종로구,청운효자동,2.57
1111053000,종로구,사직동,1.23
1111054000,종로구,삼청동,1.49
1111055000,종로구,부암동,2.27
1111056000,종로구,평창동,8.87
1111057000,종로구,무악동,0.36
1111058000,종로구,교남동,0.35
1111060000,종로구,가회동,0.54
1111061500,종로구,종로1.2.3.4가동,2.35
1111063000,종로구,종로5.6가동,0.6
1111064000,종로구,이화동,0.78
1111065000,종로구,혜화동,1.12
1111067000,종로구,창신제1동,0.31
1111068000,종로구,창신제2동,0.26
1111069000,종로구,창신제3동,0.23
1111070000,종로구,숭인제1동,0.23
1111071000,종로구,숭인제2동,0.35
1114052000,중구,소공동,0.95
1114054000,중구,회현동,0.84
1114055000,중구,명동,0.99
1114057000,중구,필동,1.14
1114058000,중구,장충동,1.36
1114059000,중구,광희동,0.74
1114060500,중구,을지로동,0.6
1114061500,중구,신당동,0.55
1114062500,중구,다산동,0.51
1114063500,중구,약수동,0.48
1114064500,중구,청구동,0.34
1114065000,중구,신당제5동,0.39
1114066500,중구,동화동,0.26
1114067000,중구,황학동,0.33
1114068000,중구,중림동,0.48
1117051000,용산구,후암동,0.86
1117052000,용산구,용산2가동,1.96
1117053000,용산구,남영동,1.19
1117055500,용산구,청파동,0.9
1117056000,용산구,원효로제1동,0.59
1117057000,용산구,원효로제2동,0.71
1117058000,용산구,효창동,0.44
1117059000,용산구,용문동,0.28
1117062500,용산구,한강로동,2.9
1117063000,용산구,이촌제1동,2.86
1117064000,용산구,이촌제2동,1.22
1117065000,용산구,이태원제1동,0.57
1117066000,용산구,이태원제2동,0.86
1117068500,용산구,한남동,3.01
1117069000,용산구,서빙고동,2.8
1117070000,용산구,보광동,0.71
1120052000,성동구,왕십리제2동,0.41
1120053500,성동구,왕십리도선동,0.72
1120054000,성동구,마장동,1.05
1120055000,성동구,사근동,1.1
1120056000,성동구,행당제1동,0.59
1120057000,성동구,행당제2동,0.42
1120058000,성동구,응봉동,0.57
1120059000,성동구,금호1가동,0.46
1120061500,성동구,금호2.3가동,0.64
1120062000,성동구,금호4가동,0.84
1120064500,성동구,옥수동,1.94
1120065000,성동구,성수1가제1동,1.97
1120066000,성동구,성수1가제2동,0.89
1120067000,성동구,성수2가제1동,1.17
1120069000,성동구,성수2가제3동,1.03
1120072000,성동구,송정동,0.75
1120079000,성동구,용답동,2.31
1121571000,광진구,화양동,1.16
1121573000,광진구,군자동,0.74
1121574000,광진구,중곡제1동,0.62
1121575000,광진구,중곡제2동,0.55
1121576000,광진구,중곡제3동,0.6
1121577000,광진구,중곡제4동,2.32
1121578000,광진구,능동,1.1
1121581000,광진구,광장동,2.39
1121582000,광진구,자양제1동,0.57
1121583000,광진구,자양제2동,1.68
1121584000,광진구,자양제3동,1.2
1121584700,광진구,자양제4동,1.16
1121585000,광진구,구의제1동,0.56
